customer_state,seller_state,order_count,late_delivery_count,avg_days_late_when_late,late_delivery_rate,avg_review_score
AL,PR,35,14,10.9,0.4,3.54
AL,SP,254,67,9.1,0.264,3.71
SP,MA,123,31,7.4,0.252,3.93
CE,RJ,54,12,19.7,0.222,3.65
MA,SP,486,104,9.7,0.214,3.72
MA,PR,40,8,7.2,0.2,3.88
PI,SP,327,60,13.7,0.183,3.97
AL,MG,35,6,5.5,0.171,4.15
BA,PR,143,24,15.9,0.168,3.82
MA,MG,60,10,6.5,0.167,4.37
BA,RS,42,7,7.3,0.167,4.07
SE,SP,205,34,16.6,0.166,3.84
MG,MA,31,5,4.5,0.161,4.26
RJ,SP,8049,1258,13.0,0.156,3.9
CE,SP,961,148,13.2,0.154,3.97
RR,SP,33,5,37.1,0.152,3.76
BA,SP,2278,345,9.4,0.151,3.89
PB,PR,40,6,11.0,0.15,4.03
MS,SP,471,69,7.9,0.146,4.09
ES,SP,1444,206,9.4,0.143,4.06
CE,PR,63,9,28.2,0.143,3.5
RJ,PR,951,135,13.6,0.142,3.91
PA,MG,83,11,25.8,0.133,4.1
PA,SP,675,89,11.0,0.132,3.88
PE,RJ,91,12,9.4,0.132,4.19
BA,SC,76,10,21.8,0.132,3.75
PA,PR,53,7,7.9,0.132,4.13
TO,SP,191,25,6.6,0.131,4.12
PE,PR,86,11,10.0,0.128,4.05
PB,MG,48,6,15.9,0.125,4.15
MS,RJ,32,4,6.4,0.125,4.31
CE,MG,73,9,11.7,0.123,4.01
RN,SP,330,40,12.5,0.121,4.12
SC,SP,2306,256,7.5,0.111,4.05
PB,SP,333,37,9.4,0.111,4.07
BA,RJ,135,15,14.8,0.111,4.19
SE,MG,36,4,46.4,0.111,4.29
SC,RJ,110,12,12.6,0.109,4.3
PE,SP,1126,122,11.7,0.108,4.05
BA,MG,362,39,20.2,0.108,4.13
RJ,SC,465,48,15.6,0.103,3.97
SP,ES,100,10,7.8,0.1,4.18
RS,RJ,196,19,8.5,0.097,4.23
GO,SP,1394,131,9.7,0.094,4.07
RJ,MG,1124,106,12.1,0.094,4.17
ES,PR,106,10,15.6,0.094,4.11
GO,SC,54,5,14.2,0.093,4.26
SP,RJ,1300,120,9.6,0.092,4.17
BA,BA,66,6,10.3,0.091,4.29
PR,RJ,200,18,9.3,0.09,4.13
SC,MG,249,22,8.6,0.088,4.14
RJ,RS,240,21,10.2,0.087,4.12
RJ,ES,59,5,12.8,0.085,4.1
DF,SP,1365,114,6.0,0.084,4.08
PE,MG,109,9,12.3,0.083,4.35
DF,RJ,96,8,13.6,0.083,4.13
MT,MG,50,4,10.4,0.08,4.04
RS,SP,3540,273,10.0,0.077,4.14
GO,RJ,107,8,9.2,0.075,4.26
MG,RJ,547,40,8.4,0.073,4.27
RJ,DF,96,7,14.9,0.073,3.88
RJ,PE,42,3,10.4,0.071,3.98
SC,PR,382,26,8.8,0.068,4.34
MT,SP,640,43,10.4,0.067,4.2
RJ,RJ,945,62,8.6,0.066,4.4
MS,MG,61,4,7.7,0.066,4.25
MG,SP,7327,471,7.2,0.064,4.17
SP,SP,30313,1907,6.5,0.063,4.26
RS,SC,286,18,6.0,0.063,4.37
SC,SC,253,16,6.2,0.063,4.42
PE,BA,32,2,16.9,0.063,4.5
DF,DF,49,3,4.1,0.061,4.27
AP,SP,49,3,48.9,0.061,4.23
RJ,BA,83,5,11.8,0.06,4.15
BA,DF,35,2,22.9,0.057,3.94
PR,SP,3077,167,8.0,0.054,4.21
MG,PR,803,43,10.0,0.054,4.25
RJ,GO,56,3,32.2,0.054,4.36
PA,RJ,37,2,18.1,0.054,4.46
RS,PR,562,30,8.3,0.053,4.32
MT,PR,57,3,16.3,0.053,4.14
PE,SC,38,2,7.7,0.053,3.95
MG,SC,422,22,9.7,0.052,4.13
RS,RS,287,15,4.8,0.052,4.57
SP,BA,135,7,5.1,0.052,4.2
RS,MG,273,14,10.4,0.051,4.22
PR,RS,137,7,10.7,0.051,4.34
RJ,MA,41,2,9.7,0.049,4.38
ES,MG,169,8,43.7,0.047,4.17
GO,PR,87,4,12.7,0.046,4.2
SP,MG,2506,110,9.3,0.044,4.27
SP,SC,1288,57,9.1,0.044,4.25
PR,PR,703,31,3.3,0.044,4.42
DF,PR,148,6,5.6,0.041,4.26
ES,SC,49,2,7.4,0.041,4.23
SP,GO,125,5,5.7,0.04,4.38
AM,SP,99,4,5.0,0.04,4.22
SP,PR,2873,104,9.4,0.036,4.29
MS,PR,55,2,4.7,0.036,4.31
AC,SP,57,2,16.6,0.035,4.02
