customer_state,categories,order_status,order_count,low_review_count,low_review_rate,avg_days_late,avg_item_value
SP,sports_leisure,canceled,28,25,0.893,,146.11
MG,unknown,unavailable,71,63,0.887,,
RJ,unknown,unavailable,66,58,0.879,,
SP,unknown,unavailable,283,243,0.859,,
PR,unknown,unavailable,40,30,0.75,,
SP,health_beauty,shipped,28,20,0.714,,69.13
RJ,bed_bath_table,shipped,30,20,0.667,,108.09
SP,bed_bath_table,shipped,40,26,0.65,,100.09
SP,sports_leisure,shipped,26,16,0.615,,130.0
SP,unknown,canceled,88,49,0.557,,53.18
MA,cool_stuff,delivered,33,11,0.333,-7.8,216.98
PI,auto,delivered,27,9,0.333,-7.4,371.01
RJ,office_furniture,delivered,210,65,0.31,-11.0,214.03
RJ,construction_tools_construction,delivered,96,29,0.302,-10.5,192.29
TO,health_beauty,delivered,29,8,0.276,-11.3,165.48
PA,telephony,delivered,69,19,0.275,-12.5,102.15
RJ,audio,delivered,51,14,0.275,-9.5,171.87
AL,health_beauty,delivered,62,17,0.274,-5.8,204.54
DF,baby,delivered,63,17,0.27,-8.4,134.07
SE,telephony,delivered,26,7,0.269,-8.9,89.65
PA,bed_bath_table,delivered,34,9,0.265,-14.8,103.13
CE,stationery,delivered,27,7,0.259,-6.5,96.39
MA,bed_bath_table,delivered,32,8,0.25,-9.3,123.89
MG,audio,delivered,32,8,0.25,-11.1,172.78
PA,fashion_bags_accessories,delivered,28,7,0.25,-12.5,73.84
RN,furniture_decor,delivered,29,7,0.241,-12.9,111.78
MG,office_furniture,delivered,131,31,0.237,-13.6,209.41
PE,furniture_decor,delivered,68,16,0.235,-11.6,130.35
CE,furniture_decor,delivered,64,15,0.234,-10.4,132.93
PA,auto,delivered,43,10,0.233,-10.1,171.48
RJ,unknown,delivered,177,40,0.226,-10.0,122.2
CE,electronics,delivered,40,9,0.225,-7.5,92.33
MT,furniture_decor,delivered,49,11,0.224,-15.0,112.78
BA,telephony,delivered,216,48,0.222,-8.8,92.88
GO,bed_bath_table,delivered,180,40,0.222,-9.8,111.84
BA,bed_bath_table,delivered,205,45,0.22,-9.2,116.59
DF,computers_accessories,delivered,132,29,0.22,-11.2,178.9
MA,computers_accessories,delivered,59,13,0.22,-8.4,205.98
PA,baby,delivered,41,9,0.22,-12.6,237.87
MA,sports_leisure,delivered,55,12,0.218,-10.1,151.29
RJ,bed_bath_table,delivered,1311,281,0.214,-9.5,106.9
MG,home_appliances,delivered,84,18,0.214,-13.3,64.73
PB,bed_bath_table,delivered,28,6,0.214,-12.7,116.95
MA,auto,delivered,38,8,0.211,-7.5,139.24
SC,office_furniture,delivered,38,8,0.211,-11.1,235.77
RJ,furniture_decor,delivered,785,163,0.208,-10.7,116.27
RJ,baby,delivered,317,66,0.208,-9.7,125.34
GO,furniture_decor,delivered,96,20,0.208,-10.0,117.66
CE,auto,delivered,53,11,0.208,-9.8,222.76
RJ,garden_tools,delivered,517,107,0.207,-9.4,134.79
RJ,market_place,delivered,29,6,0.207,-11.3,83.27
RS,musical_instruments,delivered,29,6,0.207,-9.7,256.44
PA,health_beauty,delivered,97,20,0.206,-12.3,232.07
BA,auto,delivered,143,29,0.203,-8.5,200.83
RJ,watches_gifts,delivered,770,155,0.201,-12.1,222.01
PE,bed_bath_table,delivered,75,15,0.2,-13.2,115.49
SC,unknown,delivered,55,11,0.2,-7.6,121.98
PI,health_beauty,delivered,50,10,0.2,-13.0,204.1
CE,garden_tools,delivered,45,9,0.2,-10.3,132.91
MT,garden_tools,delivered,35,7,0.2,-12.2,224.25
CE,baby,delivered,30,6,0.2,-6.8,151.61
AL,telephony,delivered,25,5,0.2,-3.8,177.37
PA,garden_tools,delivered,25,5,0.2,-11.0,220.27
RJ,musical_instruments,delivered,71,14,0.197,-9.8,265.58
ES,bed_bath_table,delivered,189,37,0.196,-7.4,116.37
PA,furniture_decor,delivered,51,10,0.196,-13.0,171.69
GO,unknown,delivered,46,9,0.196,-8.2,179.77
RJ,electronics,delivered,385,75,0.195,-9.2,63.01
SP,art,delivered,87,17,0.195,-8.4,163.78
RJ,computers_accessories,delivered,814,158,0.194,-11.1,140.28
SP,office_furniture,delivered,489,95,0.194,-9.8,211.14
BA,furniture_decor,delivered,191,37,0.194,-8.3,115.43
DF,bed_bath_table,delivered,165,32,0.194,-9.4,95.17
PR,consoles_games,delivered,36,7,0.194,-12.5,149.0
BA,musical_instruments,delivered,31,6,0.194,-11.2,310.66
BA,baby,delivered,88,17,0.193,-8.6,167.86
MA,baby,delivered,26,5,0.192,-9.0,201.9
SP,fashion_male_clothing,delivered,47,9,0.191,-12.1,89.27
CE,computers_accessories,delivered,79,15,0.19,-7.5,146.23
ES,auto,delivered,79,15,0.19,-9.9,146.85
MG,small_appliances,delivered,58,11,0.19,-15.0,290.05
MT,toys,delivered,37,7,0.189,-13.6,154.52
BA,garden_tools,delivered,139,26,0.187,-9.7,170.2
MA,telephony,delivered,59,11,0.186,-9.5,84.36
MA,health_beauty,delivered,81,15,0.185,-7.0,155.84
PA,electronics,delivered,27,5,0.185,-13.7,106.51
RJ,sports_leisure,delivered,873,161,0.184,-9.9,134.16
