payment_types,max_payment_installments,order_count,avg_payment_value,avg_item_value,avg_review_score,canceled_or_unavailable_count,low_review_count
credit_card,18,26,492.84,458.53,3.85,0,6
credit_card,15,72,436.65,396.07,3.94,0,15
credit_card,12,129,324.34,283.98,3.92,2,25
"credit_card,voucher",10,46,497.38,455.23,3.63,0,11
"voucher,credit_card",10,41,434.46,395.67,3.72,3,10
credit_card,10,5228,417.93,376.83,3.96,79,955
credit_card,9,635,205.39,173.67,4.07,14,99
credit_card,8,4219,309.92,280.58,4.02,39,709
credit_card,7,1606,188.96,163.51,4.04,15,256
"credit_card,voucher",6,26,238.29,208.52,4.15,0,3
"voucher,credit_card",6,27,214.08,183.93,4.46,1,2
credit_card,6,3855,211.4,183.96,4.07,38,589
"voucher,credit_card",5,31,209.72,179.22,3.97,0,6
"credit_card,voucher",5,38,187.52,160.81,4.26,0,4
credit_card,5,5158,184.72,160.06,4.06,62,802
"voucher,credit_card",4,44,193.84,169.23,4.3,0,4
"credit_card,voucher",4,44,174.45,154.14,4.27,0,3
credit_card,4,6982,164.82,141.29,4.05,82,1048
"credit_card,voucher",3,70,206.15,181.42,4.04,1,12
"voucher,credit_card",3,72,195.81,158.01,4.01,1,14
credit_card,3,10286,143.58,121.41,4.06,117,1565
"voucher,credit_card",2,111,209.31,183.94,3.99,2,18
"credit_card,voucher",2,98,135.97,110.76,4.16,0,9
credit_card,2,12154,128.34,107.7,4.11,122,1681
boleto,1,19784,145.03,121.93,4.08,245,2844
debit_card,1,1527,142.72,120.81,4.17,13,198
"voucher,credit_card",1,758,117.77,96.81,4.11,14,109
voucher,1,1621,114.39,86.07,3.94,86,300
"credit_card,voucher",1,770,107.46,87.88,4.03,13,114
credit_card,1,23805,100.71,82.39,4.15,279,3086
