category,order_count,late_delivery_count,canceled_or_unavailable_count,low_review_count,late_delivery_rate,low_review_rate,avg_item_value
fashion_male_clothing,112,5,1,29,0.045,0.259,96.85
office_furniture,1273,115,1,288,0.09,0.226,216.75
audio,350,45,1,76,0.129,0.217,149.36
construction_tools_safety,167,7,2,34,0.042,0.204,252.11
unknown,1451,127,14,290,0.088,0.2,127.36
home_confort,397,41,0,77,0.103,0.194,160.71
fixed_telephony,217,11,3,40,0.051,0.184,274.94
fashion_underwear_beach,121,15,0,22,0.124,0.182,78.86
home_construction,490,39,1,86,0.08,0.176,178.19
bed_bath_table,9417,811,18,1575,0.086,0.167,112.14
furniture_decor,6449,535,24,1077,0.083,0.167,116.91
air_conditioning,253,10,2,41,0.04,0.162,218.21
computers_accessories,6689,503,35,1075,0.075,0.161,137.18
baby,2885,258,17,458,0.089,0.159,145.78
art,202,15,1,32,0.074,0.158,121.81
telephony,4199,349,16,645,0.083,0.154,77.84
furniture_living_room,422,35,2,64,0.083,0.152,167.83
watches_gifts,5624,468,20,849,0.083,0.151,215.02
agro_industry_and_commerce,182,9,0,27,0.049,0.148,398.52
construction_tools_construction,748,67,2,108,0.09,0.144,196.03
auto,3897,328,25,563,0.084,0.144,152.78
consoles_games,1062,83,8,150,0.078,0.141,148.82
electronics,2550,247,7,356,0.097,0.14,64.18
costruction_tools_garden,194,13,2,27,0.067,0.139,137.16
small_appliances,630,38,8,87,0.06,0.138,305.26
kitchen_dining_laundry_garden_furniture,248,11,2,34,0.044,0.137,188.82
market_place,280,13,1,38,0.046,0.136,106.99
garden_tools,3518,274,13,470,0.078,0.134,140.77
perfumery,3162,228,16,421,0.072,0.133,127.12
musical_instruments,628,54,8,82,0.086,0.131,306.14
housewares,5884,399,37,772,0.068,0.131,109.45
sports_leisure,7720,584,47,999,0.076,0.129,129.01
home_appliances_2,234,16,3,30,0.068,0.128,484.44
computers,181,13,0,23,0.072,0.127,1232.27
health_beauty,8836,776,36,1116,0.088,0.126,143.15
toys,3886,286,31,489,0.074,0.126,125.66
christmas_supplies,128,12,1,16,0.094,0.125,68.88
fashion_shoes,240,15,2,30,0.063,0.125,98.46
cool_stuff,3632,243,16,452,0.067,0.124,177.3
home_appliances,764,50,2,95,0.065,0.124,104.94
drinks,297,19,1,36,0.064,0.121,77.93
fashion_bags_accessories,1864,121,6,216,0.065,0.116,82.41
pet_shop,1710,106,4,198,0.062,0.116,125.93
stationery,2311,176,12,264,0.076,0.114,101.05
signaling_and_security,140,8,0,16,0.057,0.114,154.21
food,450,44,1,51,0.098,0.113,67.12
construction_tools_lights,244,22,1,27,0.09,0.111,193.72
industry_commerce_and_business,235,19,0,26,0.081,0.111,171.15
books_technical,260,28,0,26,0.108,0.1,74.09
luggage_accessories,1034,56,4,95,0.054,0.092,136.99
books_general_interest,512,34,7,42,0.066,0.082,91.87
food_drink,227,14,2,13,0.062,0.057,68.03
